Data Terms of Use,https://www.edf.org/airqualitymaps/download-oakland-air-pollution-data ,,,
Longitude,Latitude,NO Value,NO2 Value,BC Value
-122.1848104,37.75727867,3.237373861,8.106080665,0.342375813
-122.1848085,37.72837534,8.675438476,13.35604792,0.628867442
-122.1848071,37.74823953,7.284552768,10.29873588,0.411267764
-122.1848032,37.74971997,5.808333538,9.62166659,0.307473651
-122.1848028,37.72836902,8.576190596,12.08864273,0.402945639
-122.184802,37.76082963,7.446153605,9.667669311,0.436357603
-122.1848014,37.73427335,32.30769159,14.8760004,0.682171916
-122.1847995,37.75341416,5.934782589,9.887987496,0.336069357
-122.1847812,37.74871004,7.333333138,6.070363608,0.386459414
-122.1847788,37.72976647,4.172698509,10.55875663,0.45481664
-122.1847775,37.75673617,1.283173769,7.084218601,0.073918977
-122.1847739,37.75303195,4.291044741,5.216702147,0.321078553
-122.1847529,37.73365529,5.595238236,8.373790059,0.260049254
-122.1847503,37.73883719,2.500000119,5.771999836,0.320949009
-122.1847423,37.73520389,2.127222268,6.961499929,0.343395417
-122.1847357,37.75472322,2.339603394,6.607833385,0.378349317
-122.1847237,37.73115052,4.158730301,10.05616851,0.463824925
-122.1847112,37.73277148,3.157894764,8.597750068,0.009424971
-122.184697,37.75835966,6.940811339,6.054832494,0.170033094
-122.1846738,37.73874291,2.283582109,5.721830507,0.182917901
-122.1846682,37.74331734,13.44000064,12.08934689,0.55844017
-122.1846651,37.75982139,2.845029344,6.926701761,0.335606604
-122.1846585,37.73781249,1.41666669,7.295749923,0.277578166
-122.1846582,37.7291416,6.342857065,12.01172497,0.288030083
-122.184656,37.75144961,4.185266966,6.815812269,0.376238772
-122.1846498,37.73303742,4.750000197,8.839663347,0.104232674
-122.184649,37.74014778,2.828947503,7.032589189,0.452176848
-122.1846351,37.73190217,4.766666691,8.976000309,0.380060798
-122.1846278,37.76078562,10.8959203,13.31162963,0.465922251
-122.1846255,37.73424191,21.51219547,14.45130903,0.605024314
-122.1846243,37.74801141,5.625000049,10.60700956,0.290242555
-122.1846149,37.75186943,2.750000043,5.556256591,0.362306982
-122.1846134,37.73457561,15.26984147,12.82470343,0.350734473
-122.1846055,37.72814868,12.09374993,12.69907857,0.394032086
-122.1846049,37.74326383,14.21333363,11.40857097,0.635361553
-122.1846034,37.73055619,5.000000208,9.069626053,0.193014281
-122.1846003,37.75279934,4.203091826,6.445083365,0.334848536
-122.1845978,37.74006849,2.495535747,6.362884674,0.326011104
-122.1845965,37.74797676,7.526870293,10.20178111,0.326511757
-122.1845883,37.73330335,4.285714323,8.88049984,0.195311249
-122.1845747,37.7559482,1.674242459,7.270417438,0.223901747
-122.1845637,37.73446576,32.00000152,14.59088551,0.637891185
-122.1845499,37.75799355,12.0000001,11.30848961,0.404039589
-122.1845461,37.75744911,3.277777882,8.27135637,0.356497361
-122.184545,37.73679002,5.78507463,8.774999619,0.297234693
-122.1845374,37.76099989,13.71929899,7.246397741,0.650592795
-122.1845365,37.75358599,3.399999999,9.730356745,0.413552685
-122.1845337,37.75277501,4.736842146,6.685796831,0.170529117
-122.1845299,37.72853076,6.583333475,11.04699974,0.306810146
-122.1845268,37.73356929,5.210526435,8.517399979,0.268837458
